,Unnamed: 0,Unnamed: 0.1,name,period,last_extract
593,,,BURL,2000d,12-29-2021
594,,,MOV,2000d,12-29-2021
595,,,AEO,2000d,12-29-2021
596,,,KMB,2000d,12-29-2021
597,,,LGF-A,2000d,12-29-2021
598,,,AEIS,2000d,12-29-2021
599,,,CARR,2000d,12-29-2021
600,,,STGW,2000d,12-29-2021
601,,,DTIL,2000d,12-29-2021
602,,,TGI,2000d,12-29-2021
603,,,MMM,2000d,12-29-2021
604,,,EPZM,2000d,12-29-2021
605,,,ACGL,2000d,12-29-2021
606,,,DCOM,2000d,12-29-2021
607,,,RGEN,2000d,12-29-2021
608,,,BG,2000d,12-29-2021
609,,,HVT,2000d,12-29-2021
610,,,SMG,2000d,12-29-2021
611,,,ADI,2000d,12-29-2021
612,,,MTZ,2000d,12-29-2021
613,,,DHT,2000d,12-29-2021
614,,,GLP,2000d,12-29-2021
615,,,SRCL,2000d,12-29-2021
616,,,INO,2000d,12-29-2021
617,,,PCTI,2000d,12-29-2021
618,,,DK,2000d,12-29-2021
619,,,HCA,2000d,12-29-2021
620,,,EOLS,2000d,12-29-2021
621,,,JCI,2000d,12-29-2021
622,,,HON,2000d,12-29-2021
623,,,SNPS,2000d,12-29-2021
624,,,JW-A,2000d,12-29-2021
625,,,ITRI,2000d,12-29-2021
626,,,OTIS,2000d,12-29-2021
627,,,HHC,2000d,12-29-2021
628,,,TBI,2000d,12-29-2021
629,,,CLW,2000d,12-29-2021
630,,,WAT,2000d,12-29-2021
631,,,NMR,2000d,12-29-2021
632,,,CUTR,2000d,12-29-2021
633,,,BGFV,2000d,12-29-2021
634,,,IDXX,2000d,12-29-2021
635,,,LII,2000d,12-29-2021
636,,,AEP,2000d,12-29-2021
637,,,MTRN,2000d,12-29-2021
638,,,EVH,2000d,12-29-2021
639,,,ASND,2000d,12-29-2021
640,,,GO,2000d,12-29-2021
641,,,VOYA,2000d,12-29-2021
642,,,JBL,2000d,12-29-2021
643,,,HQY,2000d,12-29-2021
644,,,UAN,2000d,12-29-2021
645,,,CMRX,2000d,12-29-2021
646,,,APA,2000d,12-29-2021
647,,,ON,2000d,12-29-2021
648,,,ULTA,2000d,12-29-2021
649,,,ARNA,2000d,12-29-2021
650,,,MDWD,2000d,12-29-2021
651,,,BKH,2000d,12-29-2021
652,,,TAK,2000d,12-29-2021
653,,,QLYS,2000d,12-29-2021
654,,,AXAS,2000d,12-29-2021
655,,,DORM,2000d,12-29-2021
656,,,CX,2000d,12-29-2021
657,,,BKD,2000d,12-29-2021
658,,,API,2000d,12-29-2021
659,,,PAGP,2000d,12-29-2021
660,,,FAST,2000d,12-29-2021
661,,,PYPL,2000d,12-29-2021
662,,,EGRX,2000d,12-29-2021
663,,,MIME,2000d,12-29-2021
664,,,SOHU,2000d,12-29-2021
665,,,TMST,2000d,12-29-2021
666,,,UFCS,2000d,12-29-2021
667,,,EXC,2000d,12-29-2021
668,,,LANC,2000d,12-29-2021
669,,,ATR,2000d,12-29-2021
670,,,CTAS,2000d,12-29-2021
671,,,CMS,2000d,12-29-2021
672,,,ROKU,2000d,12-29-2021
673,,,PRA,2000d,12-29-2021
674,,,STLA,2000d,12-29-2021
675,,,FTNT,2000d,12-29-2021
676,,,WES,2000d,12-29-2021
677,,,W,2000d,12-29-2021
678,,,SKX,2000d,12-29-2021
679,,,PWR,2000d,12-29-2021
680,,,PTC,2000d,12-29-2021
681,,,COF,2000d,12-29-2021
682,,,AMG,2000d,12-29-2021
683,,,ENB,2000d,12-29-2021
684,,,IEX,2000d,12-29-2021
685,,,CIVI,2000d,12-29-2021
686,,,MMSI,2000d,12-29-2021
687,,,MEI,2000d,12-29-2021
688,,,USNA,2000d,12-29-2021
689,,,APH,2000d,12-29-2021
690,,,MEDP,2000d,12-29-2021
691,,,STFC,2000d,12-29-2021
692,,,ODP,2000d,12-29-2021
693,,,FRGI,2000d,12-29-2021
