,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
184,GTPS,Great American Bancorp Inc,2022-01-18T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
185,ATCMF,Atico Mining Corp,2022-01-18T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
186,UAL,United Airlines Holdings Inc,2022-01-18T10:59:00.000Z,TNS,-2.15,,,EST,-18000000,EQUITY
187,CBSH,Commerce Bancshares Inc,2022-01-18T06:00:00.000Z,TAS,0.92,,,EST,-18000000,EQUITY
188,INBK,First Internet Bancorp,2022-01-18T21:00:00.000Z,AMC,1.17,,,EST,-18000000,EQUITY
189,CBKM,Consumers Bancorp Inc,2022-01-18T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
190,PLBC,Plumas Bancorp,2022-01-18T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
191,JBHT,J B Hunt Transport Services Inc,2022-01-18T10:59:00.000Z,TNS,2.01,,,EST,-18000000,EQUITY
192,CTBI,Community Trust Bancorp Inc,2022-01-18T08:15:00.000Z,TAS,1.06,,,EST,-18000000,EQUITY
193,BEDU,Bright Scholar Education Holdings Ltd,2022-01-18T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
194,LMST,Limestone Bancorp Inc,2022-01-18T21:00:00.000Z,AMC,0.43,,,EST,-18000000,EQUITY
195,BK,Bank of New York Mellon Corp,2022-01-18T13:30:00.000Z,BMO,1.0,,,EST,-18000000,EQUITY
196,WBBW,Westbury Bancorp Inc,2022-01-18T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
197,FNLC,First Bancorp Inc,2022-01-18T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
198,STL,Sterling Bancorp,2022-01-18T10:59:00.000Z,TNS,0.52,,,EST,-18000000,EQUITY
199,PCLB,Pinnacle Bancshares Inc,2022-01-18T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
200,BOKF,BOK Financial Corp,2022-01-18T14:30:00.000Z,BMO,1.81,,,EST,-18000000,EQUITY
201,MBWM,Mercantile Bank Corp,2022-01-18T13:30:00.000Z,BMO,0.86,,,EST,-18000000,EQUITY
202,UNB,Union Bankshares Inc,2022-01-18T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
203,PLXS,Plexus Corp,2022-01-18T21:00:00.000Z,AMC,1.12,,,EST,-18000000,EQUITY
204,WTFC,Wintrust Financial Corp,2022-01-18T10:59:00.000Z,TNS,1.54,,,EST,-18000000,EQUITY
205,FCCO,First Community Corp (South Carolina),2022-01-18T13:30:00.000Z,BMO,0.49,,,EST,-18000000,EQUITY
206,TPCFF,Titan Logix Corp,2022-01-18T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
207,UMPQ,Umpqua Holdings Corp,2022-01-18T10:59:00.000Z,TNS,0.42,,,EST,-18000000,EQUITY
208,SI,Silvergate Capital Corp,2022-01-18T13:30:00.000Z,BMO,0.71,,,EST,-18000000,EQUITY
209,HWC,Hancock Whitney Corp,2022-01-18T10:59:00.000Z,TNS,1.36,,,EST,-18000000,EQUITY
210,TFC,Truist Financial Corp,2022-01-18T13:30:00.000Z,BMO,1.25,,,EST,-18000000,EQUITY
211,SCHW,Charles Schwab Corp,2022-01-18T13:30:00.000Z,BMO,0.84,,,EST,-18000000,EQUITY
212,DFS,Discover Financial Services,2022-01-18T10:59:00.000Z,TNS,3.52,,,EST,-18000000,EQUITY
213,PNC,PNC Financial Services Group Inc,2022-01-18T13:30:00.000Z,BMO,3.22,,,EST,-18000000,EQUITY
214,ORRF,Orrstown Financial Services Inc,2022-01-18T10:59:00.000Z,TNS,0.66,,,EST,-18000000,EQUITY
215,PTSI,PAM Transportation Services Inc,2022-01-18T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
216,SVIN,Scheid Vineyards Inc,2022-01-18T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
217,KMI,Kinder Morgan Inc,2022-01-18T10:59:00.000Z,TNS,0.25,,,EST,-18000000,EQUITY
218,AMNB,American National Bankshares Inc,2022-01-19T13:30:00.000Z,BMO,0.8,,,EST,-18000000,EQUITY
219,ACBI,Atlantic Capital Bancshares Inc,2022-01-19T10:59:00.000Z,TNS,0.52,,,EST,-18000000,EQUITY
220,WAL,Western Alliance Bancorp,2022-01-19T10:59:00.000Z,TNS,2.3,,,EST,-18000000,EQUITY
221,KYN,Kayne Anderson Energy Infrastructure Fund Inc,2022-01-19T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
222,FMBL,Farmers And Merchants Bank of Long Beach,2022-01-19T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
223,PEO,Adams Natural Resources Fund Inc,2022-01-19T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
224,BAC,Bank of America Corp,2022-01-19T13:30:00.000Z,BMO,0.78,,,EST,-18000000,EQUITY
225,BMTC,Bryn Mawr Bank Corp,2022-01-19T10:59:00.000Z,TNS,0.67,,,EST,-18000000,EQUITY
226,OZK,Bank Ozk,2022-01-19T10:59:00.000Z,TNS,0.98,,,EST,-18000000,EQUITY
227,BANC,Banc of California Inc,2022-01-19T13:30:00.000Z,BMO,0.16,,,EST,-18000000,EQUITY
228,TBK,Triumph Bancorp Inc,2022-01-19T10:59:00.000Z,TNS,1.03,,,EST,-18000000,EQUITY
229,NBHC,National Bank Holdings Corp,2022-01-19T10:59:00.000Z,TNS,0.6,,,EST,-18000000,EQUITY
230,OVLY,Oak Valley Bancorp,2022-01-19T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
231,BSET,Bassett Furniture Industries Inc,2022-01-19T10:59:00.000Z,TNS,0.47,,,EST,-18000000,EQUITY
